Measure,region_from,region_to,Measure_Type,value,Base_Region
entropy_kozachenko,superiorparietal,superiorparietal,Univariate,1.4261700646541513,superiorparietal
AIS_kraskov,superiorparietal,superiorparietal,Univariate,0.06688535481082525,superiorparietal
je_kozachenko,lateraloccipital,superiorparietal,Bivariate,2.8303163628799495,
si_kozachenko_k-1,lateraloccipital,superiorparietal,Bivariate,0.02748532572155904,
mi_kraskov_NN-4,lateraloccipital,superiorparietal,Bivariate,-0.008131965781636552,
tlmi_kraskov_NN-4,lateraloccipital,superiorparietal,Bivariate,0.01781066131436937,
di_kozachenko,lateraloccipital,superiorparietal,Bivariate,2.379629365740442,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorparietal,Bivariate,2.0333574125899855e-06,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,superiorparietal,Bivariate,0.00825678157274079,
ce_kozachenko,lateraloccipital,superiorparietal,Bivariate,1.4216521458282378,
cce_kozachenko,lateraloccipital,superiorparietal,Bivariate,4.541615917355047,
entropy_kozachenko,frontalpole,frontalpole,Univariate,1.4230563023301057,frontalpole
AIS_kraskov,frontalpole,frontalpole,Univariate,0.021603551779474373,frontalpole
je_kozachenko,lateraloccipital,frontalpole,Bivariate,2.809849978112567,
si_kozachenko_k-1,lateraloccipital,frontalpole,Bivariate,8.529903995002641e-05,
mi_kraskov_NN-4,lateraloccipital,frontalpole,Bivariate,0.0044854581982640696,
tlmi_kraskov_NN-4,lateraloccipital,frontalpole,Bivariate,-0.00238862078766644,
di_kozachenko,lateraloccipital,frontalpole,Bivariate,2.3252839030142045,
gc_gaussian_k-1_kt-1_l-1_lt-1,lateraloccipital,frontalpole,Bivariate,1.8976317592272592e-05,
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,lateraloccipital,frontalpole,Bivariate,0.006584693672522235,
ce_kozachenko,lateraloccipital,frontalpole,Bivariate,1.4011119073687222,
cce_kozachenko,lateraloccipital,frontalpole,Bivariate,4.592749390398181,
entropy_kozachenko,cuneus,cuneus,Univariate,1.4149055478773516,cuneus
AIS_kraskov,cuneus,cuneus,Univariate,0.10383909476854392,cuneus
je_kozachenko,lateraloccipital,cuneus,Bivariate,2.835619454120606,
si_kozachenko_k-1,lateraloccipital,cuneus,Bivariate,-0.017727348316831648,
mi_kraskov_NN-4,lateraloccipital,cuneus,Bivariate,0.03349785716847542,
tlmi_kraskov_NN-4,lateraloccipital,cuneus,Bivariate,0.00229708370130588,
