Region_Index,Measure_Type,Measure,Value,Subject_ID,Run_Number,Region
75,Univariate,Entropy,1.386318230737409,100610,0,7networks_LH_SalVentAttn_PFCl
75,Univariate,AIS,0.6289090392525871,100610,0,7networks_LH_SalVentAttn_PFCl
76,Univariate,Entropy,1.453566170208469,100610,0,7networks_LH_SalVentAttn_PostC
76,Univariate,AIS,0.36095949802605976,100610,0,7networks_LH_SalVentAttn_PostC
77,Univariate,Entropy,1.3283762808127761,100610,0,7networks_LH_SalVentAttn_PrCv
77,Univariate,AIS,0.4770220358231194,100610,0,7networks_LH_SalVentAttn_PrCv
78,Univariate,Entropy,1.4150819008776603,100610,0,7networks_LH_SalVentAttn_SPL_1
78,Univariate,AIS,0.18591102500728152,100610,0,7networks_LH_SalVentAttn_SPL_1
79,Univariate,Entropy,1.4283556016049017,100610,0,7networks_LH_SalVentAttn_SPL_2
79,Univariate,AIS,0.27624293746902584,100610,0,7networks_LH_SalVentAttn_SPL_2
80,Univariate,Entropy,1.3920329952522366,100610,0,7networks_LH_SalVentAttn_Temp
80,Univariate,AIS,0.17344653247135788,100610,0,7networks_LH_SalVentAttn_Temp
81,Univariate,Entropy,1.448579570616623,100610,0,7networks_LH_DorsAttn_IPL
81,Univariate,AIS,0.0622856382313044,100610,0,7networks_LH_DorsAttn_IPL
82,Univariate,Entropy,1.407987002026383,100610,0,7networks_LH_DorsAttn_IPS_1
82,Univariate,AIS,0.014011088043831776,100610,0,7networks_LH_DorsAttn_IPS_1
83,Univariate,Entropy,1.3785959825603138,100610,0,7networks_LH_DorsAttn_IPS_2
83,Univariate,AIS,0.375010386372721,100610,0,7networks_LH_DorsAttn_IPS_2
84,Univariate,Entropy,1.3374800478227389,100610,0,7networks_LH_DorsAttn_PostC_1
84,Univariate,AIS,0.4303173682993773,100610,0,7networks_LH_DorsAttn_PostC_1
85,Univariate,Entropy,1.4303168806636783,100610,0,7networks_LH_DorsAttn_PostC_2
85,Univariate,AIS,0.13370125838885993,100610,0,7networks_LH_DorsAttn_PostC_2
86,Univariate,Entropy,1.4474684659680594,100610,0,7networks_LH_DorsAttn_PrCd_1
86,Univariate,AIS,0.3591752446413663,100610,0,7networks_LH_DorsAttn_PrCd_1
87,Univariate,Entropy,1.3898162543210892,100610,0,7networks_LH_DorsAttn_PrCd_2
87,Univariate,AIS,0.5029212506488738,100610,0,7networks_LH_DorsAttn_PrCd_2
88,Univariate,Entropy,1.3549569428020165,100610,0,7networks_LH_DorsAttn_PrCv
88,Univariate,AIS,0.44788011352238843,100610,0,7networks_LH_DorsAttn_PrCv
89,Univariate,Entropy,1.3846614646926305,100610,0,7networks_LH_DorsAttn_SPL_1
89,Univariate,AIS,0.308813785267283,100610,0,7networks_LH_DorsAttn_SPL_1
90,Univariate,Entropy,1.3998860854369006,100610,0,7networks_LH_DorsAttn_SPL_2
